filename,max_lat,min_lat,max_lon,min_lon,file_type,file_size_mb,file_format,version,created,utmzone,srs,epsg_code,match,fullpath,uc,nuc
FST_A01a_2015_laz_5.laz,-1.603199926,-1.610267286,-56.21787066,-56.21963347,pointcloud,32.800916,LAS/LAZ,1.2,301/2015,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/FST_A01a_2015_laz_5.laz,,
PRG_A01_2013_P17a_laz_3.laz,-3.334698849,-3.334699031,-47.69956935,-47.69956998,pointcloud,0.000396,LAS/LAZ,1.0,284/2013,23S,"+proj=utm +zone=23 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32723,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/PRG_A01_2013_P17a_laz_3.laz,[5],1.0
RIB_A01_2014_laz_7.laz,-9.929896422,-9.93897699,-67.56786743,-67.57702634,pointcloud,342.074896,LAS/LAZ,1.0,112/2015,19S,"+proj=utm +zone=19 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32719,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/RIB_A01_2014_laz_7.laz,[ 0  2  3  4  5  8 14 16 24 28 29],11.0
ST1_A01_2013_laz_62.laz,-3.327246485,-3.327303747,-54.98399347,-54.98400834,pointcloud,0.000788,LAS/LAZ,1.0,308/2013,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/ST1_A01_2013_laz_62.laz,[5],1.0
ST1_A01_2016_laz_2.laz,-3.327253265,-3.327303928,-54.98399284,-54.98400832,pointcloud,0.001378,LAS/LAZ,1.2,82/2016,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/ST1_A01_2016_laz_2.laz,[1],1.0
ST2_A01_2016_laz_12.laz,-3.309015355,-3.31806622,-54.88580393,-54.89008843,pointcloud,9.404237,LAS/LAZ,1.2,82/2016,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/ST2_A01_2016_laz_12.laz,,
TAP_A01_2008_14-01.laz,-2.847639201,-2.856691659,-54.95444945,-54.96345548,pointcloud,242.214129,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A01_2008_14-01.laz,[1],1.0
TAP_A01_2008_14-02.laz,-2.847618237,-2.85667551,-54.94545542,-54.95446336,pointcloud,168.272464,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A01_2008_14-02.laz,[1],1.0
TAP_A01_2008_14-03.laz,-2.8566756,-2.865732903,-54.95443144,-54.96343949,pointcloud,242.090282,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A01_2008_14-03.laz,[1],1.0
TAP_A01_2008_14-04.laz,-2.856659471,-2.865716884,-54.94543931,-54.95444747,pointcloud,162.888946,LAS/LAZ,1.0,0/0,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32721,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/TAP_A01_2008_14-04.laz,[1],1.0
